OBJECTID,Site Name,Technology Type,Installed Capacity (MWelec),Development Status
1187,Taunton Racecourse,Solar Photovoltaics,1.5,Operational
1188,The Stables,Solar Photovoltaics,1.8,Operational
1190,Vantage Point,Solar Photovoltaics,1.4,Operational
1191,Wilsom Farm,Solar Photovoltaics,11,Operational
1192,Woodlands Farm Solar Park,Solar Photovoltaics,10,Operational
1194,Bowerhouse Farm,Solar Photovoltaics,8.3,Operational
1195,Brickyard Barn ,Solar Photovoltaics,4.1,Operational
1196,Bronwylfa Reservoir,Solar Photovoltaics,3,Operational
1197,Land At Court Farm,Solar Photovoltaics,2.2,Operational
1198,Crapnell Farm Solar Farm,Solar Photovoltaics,5.4,Operational
1199,Danes Farm - extension,Solar Photovoltaics,10.5,Operational
1200,Ellough Airfield (Resubmission),Solar Photovoltaics,13.2,Operational
1201,Ermine Street Farm solar park,Solar Photovoltaics,32.5,Operational
1202,Eynsham Solar Farm,Solar Photovoltaics,13.2,Operational
1204,Ford Farm (Ashurst),Solar Photovoltaics,10,Operational
1205,Priors Byne Farm,Solar Photovoltaics,7.6,Operational
1206,Scottow Moor - RAF Coltishall Solar Farm (Phase 1),Solar Photovoltaics,32,Operational
1207,Owls Lodge Farm Extension,Solar Photovoltaics,5,Operational
1209,Hawksland Solar,Solar Photovoltaics,3.1,Operational
1210,Middle Treworder Farm,Solar Photovoltaics,5,Operational
1211,Black Bush Farm,Solar Photovoltaics,2.7,Operational
1212,Goonhilly Downs - PV,Solar Photovoltaics,4.5,Operational
1213,Higher Tregarne Solar Farm,Solar Photovoltaics,5,Operational
1214,Causilgey Solar Farm,Solar Photovoltaics,5,Operational
1215,Ninnis Farm Solar,Solar Photovoltaics,5,Operational
1216,Trelow Farm,Solar Photovoltaics,1.6,Operational
1217,Hewas Solar Farm,Solar Photovoltaics,5,Operational
1218,Great Knowle Farm Solar,Solar Photovoltaics,3,Operational
1219,Airfield Farm PV,Solar Photovoltaics,5,Operational
1220,Lower Bodiniel Farm,Solar Photovoltaics,5,Operational
